NRC Report Title,Full Citation (from NRC Report),First Author Name,Journal Title Abbreviation,Year,Study Start Year,Study End Year,Duration,Ecosystem,First Author Country,Country or Continent of study,DOI,Number of Citations in Web of Science,Citations per year,LongTerm BigEco Question,Major Question(s) of Paper,Notes,Data Collected By,Experimental,Observational,Lab,Field,Population Ecology,Community Ecology,Ecosystem Ecology,Toxicology,Epidemiology,Human Ecology,Eco-evolution,Human managed ecology,Meta-analysis,Questionable References,Excluded
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Bradley, K.W., N.H. Monnig, T.R. Legleiter, and J.D. Wait. 2007. Influence of glyphosate
tank-mix combinations and application timings on weed control and yield in glyphosate-resistant
soybean. Crop Management. Available online at http://www.plantmanagementnetwork.
org/pub/cm/research/2007/tank/. Accessed April 7, 2009.",Bradley,CROP MANAG,2007,2004,2005,2,terrestrial,USA,USA,10.1094/CM-2007-0419-01-RS,NA,,0,Effects of glyphosate and glyphosate tank-mix combinations on weed control and yield in glyphosate-resistant soybean,None,Shen,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Cox, W.J., E. Shields, and J.H. Cherney. 2007b. The effect of clothianidin seed treatments on
corn growth following soybean. Crop Science 47(6):2482–2485.",Cox,CROP SCI,2007,2004,2005,2,terrestrial,USA,USA,10.2135/cropsci2006.12.0810,0,0.00,0,Effect of seed treatments on corn growth,None,Close,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Augier, L., G. Gastaminza, M. Lizondo, M. Argañaraz, and E. Willink. 2006. Presencia de Diaphorina citri (Hemiptera: Psyllidae) en el Noroeste Argentino (NOA) [Record of Diaphorina citri (Hemiptera: Psyllidae) in North West Argentina]. Revista de la Sociedad Entomológica Argentina 65(3-4):67–68.",Augier,RSEA,2006,2005,2006,2,terrestrial,Argentina,Argentina,NA,NA,,0,Spread of invader,NA,Rohrer,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Mahon, R.J., and K.M. Olsen. 2009. Limited survival of a Cry2Ab-resistant strain of Helicoverpa armigera (Lepidoptera: Noctuidae) on Bollgard II. Journal of Economic Entomology 102(2):708–716.",Mahon,J ECON ENTOMOL,2009,2005,2006,2,terrestrial,Australia,Australia,10.1603/029.102.0232,11,,0,,None,Rose,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Steenwerth, K., and K.M. Belina. 2008. Cover crops enhance soil organic matter, carbon dynamics and microbiological
function in a vineyard agroecosystem. Applied Soil Ecology 40(2):359–369.",Steenwerth,APPL SOIL ECOL,2008,2005,2006,2,terrestrial,USA,USA,10.1016/j.apsoil.2008.06.006,31,,0,agronomy - soil tillage effects on carbon dynamic,,Rohrer,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Hall, D.G., M.G. Hent, and R.C. Adair, Jr. 2008. Population ecology and phenology of
Diaphorina citri (Hemiptera: Psyllidae) in two Florida citrus groves. Environmental
Entomology 37(4):914–924.",Hall,ENVIRON ENTOMOL,2008,2005,2006,2,terrestrial,USA,USA,10.1603/0046-225X(2008)37[914:PEAPOD]2.0.CO;2,20,,0,agronomy pest ecology,NA,Rohrer,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Gray, M.E., K.L. Steffey, R.E. Estes, and J.B. Schroeder. 2007. Responses of transgenic maize
hybrids to variant western corn rootworm larval injury. Journal of Applied Entomology
131(6):386–390.",Gray,J APPL ENTOMOL,2007,2005,2006,2,terrestrial,USA,USA,10.1111/j.1439-0418.2007.01171.x,13,2.17,0,Does using a transgenic maize hybrid resistant to rootworm reduce root injury?,NA,Cerny-Chipman,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Climate Stabilization Targets- Emissions, Concentrations, and Impacts over Decades to Millennia","Loucks, C., S. Barber-Meyer, M. A. A. Hossain, A. Barlow, and R. M. Chowdhury. 2010. Sea
level rise and tigers: predicted impacts to Bangladesh’s Sundarbans mangroves. Climatic
Change 98 (1-2):291-298, DOI: 10.1007/s10584-009-9761-5.",Loucks,CLIMATIC CHANGE,2010,2006,2007,2,terrestrial,USA,Bangladesh, 10.1007/s10584-009-9761-5,7,,1,"How will sea level rise affect tiger populations in the Sundarbans, Bangladesh?","Data used are from a the Berlow et al 2008 paper, appear to be used as raw data",GrorudColvert,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Reddy, K.N., A.M. Rimando, S.O. Duke, and V.K. Nandula. 2008. Aminomethylphosphonic
acid accumulation in plant species treated with glyphosate. Journal of Agricultural and
Food Chemistry 56(6):2125–2130.",Reddy,J AGR FOOD CHEM,2008,2006,2007,2,terrestrial,USA,USA,10.1021/jf072954f,28,,0,Is there any correlation of metabolism of glyphosate to AMPA in different plant species and their natural level of resistance to glyphosate?,NA,GrorudColvert,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Toward Sustainable Agriculture in the 21st Century,"Culman, S.W., S.T. DuPont, J.D. Glover, D.H. Buckley, G.W. Fick, H. Ferris, and T.E. Crews. 2010. Long-term impacts of high-input annual cropping and unfertilized perennial grass production on soil properties and
belowground food webs in Kansas, USA. Agriculture, Ecosystems & Environment 137(1–2):13–24.",Culman,AGR ECOSYST ENVIRON,2010,2006,2007,2,terrestrial,USA,USA,10.1016/j.agee.2009.11.008,23,,0,,None,Rose,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Wenninger, E.J., and D.G. Hall. 2007. Daily timing of mating and age at reproductive maturity in Diaphorina citri (Hemiptera: Psyllidae). Florida Entomologist 90(4):715–722.",Wenninger,FLA ENTOMOL,2007,2006,2007,2,terrestrial,USA,USA,10.1653/0015-4040(2007)90[715:DTOMAA]2.0.CO;2,29,4.83,0,Daily timing of mating and age at reproductive maturity in Diaphorina citri,NA,Hettinger,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Al-Zadjali, T.S., R. Ibrahim, and A.K. Al-Rawahi. 2008. First record of Diaphorina citri Kuwayama (Hemiptera: Psyllidae) from the Sultanate of Oman. Insecta Mundi 2008(0039):1–3.",Al-Zadjali,INSECTA MUNDI,2008,2007,2008,2,terrestrial,Oman,Oman,NA,0,,0,New insect pest appears on Oman citrus plants,July 2007 - April 2008,Shen,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Guedot, C., D.R. Horton, and P.J. Landolt. 2008. Attraction of male winterform pear psylla to female-produced volatiles and to female extracts and evidence of male-male repellency. Entomologia Experimentalis et Applicata 130:191–197.",Guedot,ENT EXP APPL,2008,2007,2008,2,terrestrial,USA,USA,10.1111/j.1570-7458.2008.00807.x,6,,0,male pear pests attracted to female affected pears,None,Focht,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Strategic Planning for the Florida Citrus Industry: Addressing Citrus Greening,"Ashihara, W. 2004. Survival of Asian citrus psyllid, Diaphorina citri Kuwayama adults under
winter temperature conditions in Central and South Kyushu. Japanese Journal of Applied
Entomology and Zoology 48(2004):207–211.",Ashihara,JAPANESE JOURNAL OF APPLIED ENTOMOLOGY AND ZOOLOGY,2004,9999,9999,2,terrestrial,Japan,Japan,10.1303/jjaez.2004.207,3,,0,survival of citrus psyllid in winter temperatures,couldn't find an english version so did my best with just an english abstract,Focht,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Toward Sustainable Agricultural Systems in the 21st Century,"Larkin, R.P. 2008. Relative effects of biological amendments and crop rotations on soil microbial communities and soilborne diseases of potato. Soil Biology and Biochemistry 40:1341–1351.",Larkin,SOIL BIOL BIOCHEM,2008,9999,9999,2,terrestrial,USA,USA,10.1016/j.soilbio.2007.03.005,19,3.80,0,What is the efficacy of various biological amendments and different crop rotations for affecting soil microbial community characteristics and reducing soilborne potato diseases?,"Many different trials/experiments in lab/field. Duration taken from field experiments of Three different 2 year crop rotations. 2 year duration is likely an underestimate, but no start/end dates were provided.",Barner,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Progress Toward Restoring the Everglades: The Third Biennial Review--2010,"Frederick, P. C., and M. W. Collopy. 1989. Nesting success of five ciconiiform species in relation to water conditions in the Florida Everglades. Auk 106:625–634.",Frederick,AUK,1989,1986,1987,2,terrestrial/freshwater,USA,USA,NA,84,3.50,0,What factors contribute to the nesting success of ciconiiform birds in the Florida everglades?,NA,Cerny-Chipman,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Impact of Genetically Engineered Crops on Farm Sustainability in the United States (2010),"Rosi-Marshall, E.J., J.L. Tank, T.V. Royer, M.R. Whiles, M. Evans-White, C. Chambers, N.A.
Griffiths, J. Pokelsek, and M.L. Stephen. 2007. Toxins in transgenic crop byproducts
may affect headwater stream ecosystems. Proceedings of the National Academy of Sciences
of the United States of America 104(41):16204–16208.",Rosi-Marshall,P NATL ACAD SCI USA,2007,2005,2006,2,terrestrial/freshwater,USA,USA,10.1073/pnas.0707177104 ,68,,0,agriculture affecting streams,NA,Rohrer,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Power, M.E., W.J. Matthews, and S.A. Stewart. 1985. Grazing minnows, piscivorous bass, and
stream algae: Dynamics of a strong interaction. Ecology 66(5):1448-1456.",Power,ECOLOGY,1985,1982,1984,3,freshwater,USA,USA,10.2307/1938007,390,,0,predator-prey relationships and ecosystem change,NA,Rohrer,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Understanding the Changing Planet : Strategic Directions for the Geographical Sciences,"Sethi, S. A., A. R. Selle, M. W. Doyle, E. H. Stanley, and H. E. Kitchel. 2004. Response of unionid mussels to dam removal in Koshkonong Creek, Wisconsin (USA). Hydrobiologia 525(1-3):157-165.",Sethi,HYDROBIOLOGIA,2004,2000,2003,3,freshwater,USA,USA, 10.1023/BHYDR.0000038862.63229.5,23,,0,What is the effect of dam removal on in-stream biota?,NA,GrorudColvert,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Management and Effects of Coalbed Methane Produced Water in the United States,"Pollard, J., J. Cizdziel, K. Stave, and M. Reid. 2002. Selenium concentrations in water and plant tissues of a newly formed arid wetland in Las Vegas, NV. Environmental Monitoring and Assessment 135(1-3):447-457.",Pollard,ENVIRON MONIT ASSESS,2002,2001,2003,3,freshwater,USA,USA,10.1007/s10661-007-9664-8,10,0.91,0,"How does Selenium in the water affect wetland plants, and vice versa?",None,Close,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
A Scientific Assessment of Alternatives for Reducing Water Management Effects on Threatened and Endangered Fishes in California’s Bay–Delta,"Heublein, J. C., J. T. Kelly, C. E. Crocker, A. P. Klimley, and S. T. Lindley. 2009. Migration of green sturgeon, Acipenser medirostris, in the Sacra- mento River. Environ. Biol. Fish 84:245–258.",Heublein,ENV BIOL FISH,2009,2004,2006,3,freshwater,USA,USA,10.1007/s10641-008-9432-9,13,,0,Migration of green sturgeon in the Sacramento River,None,Shen,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Missouri River Planning: Recognizing and Incorporating Sediment Management,"Lyons, J. E., M. C. Runge, H. P. Laskowski, and W. L. Kendall. 2008. Monitoring in the context of structured decision-making and adaptive management. Journal of Wildlife Management 72:1683-1692.",Lyons,J WILDLIFE MANAGE,2008,2004,2006,3,freshwater,USA,USA, 10.2193/2008-141,30,,0,managing wetlands to provide habitat for migratory waterbirds,NA,ALL,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Loosanoff, V.L. and C.A. Nomejko. 1951. Existence of physiologically different races of oysters, Crassostrea virginica. Biological Bulletin 101(2):151-156.",Loosanoff,BIOL BULL,1951,1948,1950,3,marine,USA,USA,NA,NA,NA,0,Physiological differences in oyster populations,None,Close,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Paine, R.T. 1966. Food web complexity and species diversity. American Naturalist
100(910):65-75.",Paine,AM NAT,1966,1962,1964,3,marine,USA,"USA, Costa Rica",10.1086/282400,2617,,0,food web complexity and species diversity,None,Focht,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Frick, J. 1976. Orientation and behaviour of hatchling green turtles (Chelonia mydas) in the sea. Animal Behaviour 24(4):849­857.",Frick,ANIM BEHAV,1976,1968,1971,3,marine,Caribbean,USA,10.1016/S0003-3472(76)80015-2 ,38,1.03,0,Followed hatchlings to determine if swimming patterns were random,NA,Cerny-Chipman,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Ocean Acidification: A National Strategy to Meet the Challenges of a Changing Ocean,"Clausen, C.D. and A.A. Roth. 1975. Effect of temperature and temperature adaptation on calcification rate in hermatypic coral Pocillopora damicornis. Marine Biology 33: 93­100.",Clausen,MAR BIOL,1975,1968,1971,3,marine,USA,Pacific Ocean,10.1007/BF00390713,87,2.29,0,How does temperature affect coral calcification?,NA,Cerny-Chipman,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance (2010),"LeBuff, Jr., C.R. 1974. Unusual nesting relocation in the loggerhead turtle Caretta caretta.
Herpetologica 30(1):29-31.",LeBuff,HERPETOLOGICA,1974,1968,1973,3,marine,USA,USA,NA,NA,,0,Nesting relocation in loggerhead sea turtles,Observed 2 turtles. One tagged in 1968 and found in 1972. Another tagged and found in 1973.,Shen,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Sutherland, J.P. 1974. Multiple stable points in natural communities. American Naturalist 108(964):859-873.",Sutherland,AM NAT,1974,1971,1973,3,marine,USA,USA,10.1086/282961,454,11.64,1,Multiple stable points in natural communities,NA,Hettinger,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Burreson, E.M., N.A. Stokes, and C.S. Friedman. 2000. Increased virulence in an introduced
pathogen: Haplosporidium nelsoni (MSX) in the Eastern oyster, Crassostrea virginica.
Journal of Aquatic Animal Health 12:1-8.",Burreson,J AQUAT ANIM HEALTH,2000,1971,1995,3,marine,USA,USA,10.1577/1548-8667(2000)012<0001:IVIAIP>2.0.CO;2,76,5.85,,"Increased virulence in an introduced
pathogen: Haplosporidium nelsoni (MSX) in the Eastern oyster, Crassostrea virginica.",None,Robinson,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Paine, R.T. and T.H. Suchanek. 1983. Convergence of ecological processes between independently evolved competitive dominants: A tunicate-mussel comparison. Evolution
37(4):821-831.",Paine,EVOLUTION,1983,1976,1978,3,marine,USA,USA,10.2307/2407922,61,,0,How do the processes that determine the distribution and local abundance differ between a tunicate and a mussel?,NA,GrorudColvert,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Black, R. and C.H. Peterson. 1987. Biological vs. physical explanations for the non-random
pattern of host occupation by a macroalga attaching to infaunal bivalve molluscs.
Oecologia 73(2):213-221.",Black,OECOLOGIA,1987,1983,1985,3,marine,Australia,Australia,10.1007/BF00377510,21,,0,Why the macrophyte Hormosira banksii attaches to the bivalve Katelysia rhytiphora more than K. scalarina,None,Shen,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Peterson, C.H. and R. Black. 1987. Resource depletion by active suspension feeders on tidal flats: Influence of local density and tidal elevation. Limnology and Oceanography
32(1):143-166.",Peterson,LIMNOL OCEANOGR,1987,1983,1985,3,marine,USA,Australia,NA,208,,0,How is resource depletion by intertidal bivalves affected by tidal height and density?,None,Reimer,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Lafferty, K.D. and A.M. Kuris. 1993. Mass mortality of abalone Haliotis cracherodii on the
California Channel Islands: Tests of epidemiologic hypotheses. Marine Ecology Progress
Series 96:239-248.",Lafferty,MAR ECOL PROG SER,1993,1983,1985,3,marine,USA,USA,10.3354/meps096239,58,2.90,,"Mass mortality of abalone Haliotis cracherodii on the
California Channel Islands: Tests of epidemiologic hypotheses.",None,Robinson,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Flye-Sainte-Marie, J., F. Jean, C. Paillard, S. Ford, E. Powell, E. Hofmann, and J. Klinck.
2007. Ecophysiological dynamic model of individual growth of Ruditapes philippinarum.
Aquaculture 266(1-4):130-134.",Flye-Sainte-Marie,AQUACULTURE,2007,1984,1986,3,marine,France,France,10.1016/j.aquaculture.2007.02.017,9,1.50,0,,None,Robinson,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Flye-Sainte-Marie, J., F. Jean, C. Paillard, S. Ford, E. Powell, E. Hofmann, and J. Klinck.
2007. Ecophysiological dynamic model of individual growth of Ruditapes philippinarum.
Aquaculture 266(1-4):130-134.",Flye-Sainte-Marie,AQUACULTURE,2007,1984,1986,3,marine,France,France,10.1016/j.aquaculture.2007.02.017,9,,0,growth model for the Manila clam,lots of modeling; all data is abiotic from Goulletquer 1989,ALL,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Asmus, R.M. and H. Asmus. 1991. Mussel beds: Limiting or promoting phytoplankton?
Journal of Experimental Marine Biology and Ecology 148:215-232.",Asmus,J EXP MAR BIOL ECOL,1991,1984,1986,3,marine,Germany,Germany,10.1016/0022-0981(91)90083-9,138,6.27,0,,None,Reimer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessment of Sea-Turtle Status and Trends: Integrating Demography and Abundance,"Allard, M.W., M.M. Miyamoto, K.A. Bjorndal, A.B. Bolten, and B.W. Bowen. 1994. Support for natal homing in green turtles from mitochondrial DNA sequences. Copeia 1994(1):34­41.",Allard,COPEIA,1994,1986,1990,3,marine,USA,Caribbean,NA,60,3.16,0,What is the genetic population structure of green turtles,Data from previously published papers. Definitely longer than this but no other dates given.,Cerny-Chipman,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ecosystem Concepts for Sustainable Bivalve Mariculture,"Prins, T.C. and A.C. Smaal. 1994. The role of the blue mussel Mytilus edulis in the cycling of
nutrients in the Oosterschelde Estuary (The Netherlands). Hydrobiologia 282-283(1):413-
429.",Prins,HYDROBIOLOGIA,1994,1987,1989,3,marine,Netherlands,Netherlands,NA,15,0.79,0,Does nutrient regeneration by mussel beds represent a significant role in estuarine nutrient cycling?,NA,Cerny-Chipman,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
